Category,Item Name,Price,Unit/Notes
Fillers & Greens,Rosemary,$5.00,per bunch
Fillers & Greens,Ruscus Israeli,$4.50,per bunch
Fillers & Greens,Ruscus Colombian,$4.50,per bunch
Fillers & Greens,Ruscus Italian,$12.00,per bunch
Fillers & Greens,Safari Sunset Burgundy,$5.00,per bunch
Fillers & Greens,Safflower,$5.00,per bunch
Fillers & Greens,Sage Natura/ Tinted,$3.00-$6.00,per bunch
Fillers & Greens,"Scabiosa Blush, Pink, Purple",$12.00-$14.00,per bunch
Fillers & Greens,Silver Queen/ Italian Pitt,$9.50,per bunch
Fillers & Greens,Solid Aster Golden Glory,$4.00-$5.00,per bunch
Fillers & Greens,Solid Aster Tinted Orange,$6.00,per bunch
Fillers & Greens,Springerii,$5.00,per bunch
Fillers & Greens,Statice CA grown,$7.50,per bunch
Fillers & Greens,Sword Fern,$5.50,per bunch
Fillers & Greens,Thistle,$8.50,per bunch
Fillers & Greens,Ti Leaf Green,$6.00,per bunch
Fillers & Greens,Tree Fern,$5.50-$6.50,per bunch
Fillers & Greens,Veronica White,$10.00-$12.00,per bunch
Fillers & Greens,Wax,$10.00,per bunch
Fillers & Greens,Xanadu Leaves,$6.50,per bunch
Fillers & Greens,Yarrow Golden- Yellow,$8.00,per bunch
Ecuadorian Roses,Freedom,Market Price,Red
Ecuadorian Roses,Explorer,Market Price,Red
Ecuadorian Roses,RP Black Pearl 90cm,Market Price,Red
Ecuadorian Roses,Cool Water,Market Price,Purple
Ecuadorian Roses,Blueberry,Market Price,Purple
Ecuadorian Roses,Purple Mondial,Market Price,Purple
Ecuadorian Roses,Lola,Market Price,Hot Pink
Ecuadorian Roses,Pink Floyd,Market Price,Hot Pink
Ecuadorian Roses,Carousel,Market Price,Hot Pink
Ecuadorian Roses,Brighton,Market Price,Yellow
Ecuadorian Roses,Stardust,Market Price,Yellow
Ecuadorian Roses,Sunny Days,Market Price,Yellow
Ecuadorian Roses,New Flash (bi color),Market Price,Yellow
Ecuadorian Roses,Tara,Market Price,Yellow
Ecuadorian Roses,Playa Blanca,Market Price,White
Ecuadorian Roses,Polar Star,Market Price,White
Ecuadorian Roses,Akito,Market Price,White
Ecuadorian Roses,Mondial,Market Price,White
Ecuadorian Roses,Tibet,Market Price,White
Ecuadorian Roses,Free Spirit,Market Price,Orange
Ecuadorian Roses,Orange Crush,Market Price,Orange
Ecuadorian Roses,High Magic (bi Color),Market Price,Orange
Ecuadorian Roses,Quicksand,Ivory,Market Price,Cream
Ecuadorian Roses,Vendela,Ivory,Market Price,Cream
Ecuadorian Roses,Aurora Garden,Ivory,Market Price,Cream
Ecuadorian Roses,Hermosa,Market Price,Light Pink
Ecuadorian Roses,Pink Mondial,Market Price,Light Pink
Ecuadorian Roses,Sweet Akito,Market Price,Light Pink
Ecuadorian Roses,Fancy Dreams,Market Price,Light Pink
